State,Crime_Head,Year,Count
Andhra Pradesh,Assault on women with intent to outrage her Modest,2013,6930
Arunachal Pradesh,Assault on women with intent to outrage her Modest,2013,93
Assam,Assault on women with intent to outrage her Modest,2013,2409
Bihar,Assault on women with intent to outrage her Modest,2013,331
Chhattisgarh,Assault on women with intent to outrage her Modest,2013,2261
Goa,Assault on women with intent to outrage her Modest,2013,162
Gujarat,Assault on women with intent to outrage her Modest,2013,1243
Haryana,Assault on women with intent to outrage her Modest,2013,1560
Himachal Pradesh,Assault on women with intent to outrage her Modest,2013,493
Jammu & Kashmir,Assault on women with intent to outrage her Modest,2013,1389
Jharkhand,Assault on women with intent to outrage her Modest,2013,524
Karnataka,Assault on women with intent to outrage her Modest,2013,3913
Kerala,Assault on women with intent to outrage her Modest,2013,4362
Madhya Pradesh,Assault on women with intent to outrage her Modest,2013,8252
Maharashtra,Assault on women with intent to outrage her Modest,2013,8132
Manipur,Assault on women with intent to outrage her Modest,2013,59
Meghalaya,Assault on women with intent to outrage her Modest,2013,98
Mizoram,Assault on women with intent to outrage her Modest,2013,81
Nagaland,Assault on women with intent to outrage her Modest,2013,18
Odisha,Assault on women with intent to outrage her Modest,2013,4618
Punjab,Assault on women with intent to outrage her Modest,2013,1045
Rajasthan,Assault on women with intent to outrage her Modest,2013,4829
Sikkim,Assault on women with intent to outrage her Modest,2013,29
Tamil Nadu,Assault on women with intent to outrage her Modest,2013,1271
Tripura,Assault on women with intent to outrage her Modest,2013,407
Uttar Pradesh,Assault on women with intent to outrage her Modest,2013,7303
Uttarakhand,Assault on women with intent to outrage her Modest,2013,295
West Bengal,Assault on women with intent to outrage her Modest,2013,4913
Total (State),Assault on women with intent to outrage her Modest,2013,67020
A&N Islands,Assault on women with intent to outrage her Modest,2013,45
Chandigarh,Assault on women with intent to outrage her Modest,2013,143
D&N Haveli,Assault on women with intent to outrage her Modest,2013,1
Daman & Diu,Assault on women with intent to outrage her Modest,2013,2
Delhi UT,Assault on women with intent to outrage her Modest,2013,3515
Lakshadweep,Assault on women with intent to outrage her Modest,2013,1
Puducherry,Assault on women with intent to outrage her Modest,2013,12
Total (UTs),Assault on women with intent to outrage her Modest,2013,3719
Total (All-India),Assault on women with intent to outrage her Modest,2013,70739
Andhra Pradesh,Commission of Sati (P) Act,2013,0
Arunachal Pradesh,Commission of Sati (P) Act,2013,0
Assam,Commission of Sati (P) Act,2013,0
Bihar,Commission of Sati (P) Act,2013,0
Chhattisgarh,Commission of Sati (P) Act,2013,0
Goa,Commission of Sati (P) Act,2013,0
Gujarat,Commission of Sati (P) Act,2013,0
Haryana,Commission of Sati (P) Act,2013,0
Himachal Pradesh,Commission of Sati (P) Act,2013,0
Jammu & Kashmir,Commission of Sati (P) Act,2013,0
Jharkhand,Commission of Sati (P) Act,2013,0
Karnataka,Commission of Sati (P) Act,2013,0
Kerala,Commission of Sati (P) Act,2013,0
Madhya Pradesh,Commission of Sati (P) Act,2013,0
Maharashtra,Commission of Sati (P) Act,2013,0
Manipur,Commission of Sati (P) Act,2013,0
Meghalaya,Commission of Sati (P) Act,2013,0
Mizoram,Commission of Sati (P) Act,2013,0
Nagaland,Commission of Sati (P) Act,2013,0
Odisha,Commission of Sati (P) Act,2013,0
Punjab,Commission of Sati (P) Act,2013,0
Rajasthan,Commission of Sati (P) Act,2013,0
Sikkim,Commission of Sati (P) Act,2013,0
Tamil Nadu,Commission of Sati (P) Act,2013,0
Tripura,Commission of Sati (P) Act,2013,0
Uttar Pradesh,Commission of Sati (P) Act,2013,0
Uttarakhand,Commission of Sati (P) Act,2013,0
West Bengal,Commission of Sati (P) Act,2013,0
Total (State),Commission of Sati (P) Act,2013,0
A&N Islands,Commission of Sati (P) Act,2013,0
Chandigarh,Commission of Sati (P) Act,2013,0
D&N Haveli,Commission of Sati (P) Act,2013,0
Daman & Diu,Commission of Sati (P) Act,2013,0
Delhi UT,Commission of Sati (P) Act,2013,0
Lakshadweep,Commission of Sati (P) Act,2013,0
Puducherry,Commission of Sati (P) Act,2013,0
Total (UTs),Commission of Sati (P) Act,2013,0
Total (All-India),Commission of Sati (P) Act,2013,0
Andhra Pradesh,Cruelty by Husband or his relatives,2013,15084
Arunachal Pradesh,Cruelty by Husband or his relatives,2013,29
Assam,Cruelty by Husband or his relatives,2013,8636
Bihar,Cruelty by Husband or his relatives,2013,4533
Chhattisgarh,Cruelty by Husband or his relatives,2013,1181
Goa,Cruelty by Husband or his relatives,2013,40
Gujarat,Cruelty by Husband or his relatives,2013,7812
Haryana,Cruelty by Husband or his relatives,2013,3617
Himachal Pradesh,Cruelty by Husband or his relatives,2013,328
Jammu & Kashmir,Cruelty by Husband or his relatives,2013,428
Jharkhand,Cruelty by Husband or his relatives,2013,2084
Karnataka,Cruelty by Husband or his relatives,2013,3276
Kerala,Cruelty by Husband or his relatives,2013,4820
Madhya Pradesh,Cruelty by Husband or his relatives,2013,4988
Maharashtra,Cruelty by Husband or his relatives,2013,8542
Manipur,Cruelty by Husband or his relatives,2013,29
Meghalaya,Cruelty by Husband or his relatives,2013,23
Mizoram,Cruelty by Husband or his relatives,2013,5
Nagaland,Cruelty by Husband or his relatives,2013,4
Odisha,Cruelty by Husband or his relatives,2013,2792
Punjab,Cruelty by Husband or his relatives,2013,1741
Rajasthan,Cruelty by Husband or his relatives,2013,15094
Sikkim,Cruelty by Husband or his relatives,2013,5
Tamil Nadu,Cruelty by Husband or his relatives,2013,2471
Tripura,Cruelty by Husband or his relatives,2013,827
Uttar Pradesh,Cruelty by Husband or his relatives,2013,8781
Uttarakhand,Cruelty by Husband or his relatives,2013,435
West Bengal,Cruelty by Husband or his relatives,2013,18116
Total (State),Cruelty by Husband or his relatives,2013,115721
A&N Islands,Cruelty by Husband or his relatives,2013,9
Chandigarh,Cruelty by Husband or his relatives,2013,92
D&N Haveli,Cruelty by Husband or his relatives,2013,1
Daman & Diu,Cruelty by Husband or his relatives,2013,2
Delhi UT,Cruelty by Husband or his relatives,2013,3033
Lakshadweep,Cruelty by Husband or his relatives,2013,0
Puducherry,Cruelty by Husband or his relatives,2013,8
Total (UTs),Cruelty by Husband or his relatives,2013,3145
Total (All-India),Cruelty by Husband or his relatives,2013,118866
Andhra Pradesh,Dowry Deaths,2013,492
Arunachal Pradesh,Dowry Deaths,2013,0
Assam,Dowry Deaths,2013,170
Bihar,Dowry Deaths,2013,1182
Chhattisgarh,Dowry Deaths,2013,109
Goa,Dowry Deaths,2013,0
Gujarat,Dowry Deaths,2013,29
Haryana,Dowry Deaths,2013,263
Himachal Pradesh,Dowry Deaths,2013,0
Jammu & Kashmir,Dowry Deaths,2013,7
Jharkhand,Dowry Deaths,2013,307
Karnataka,Dowry Deaths,2013,277
Kerala,Dowry Deaths,2013,21
Madhya Pradesh,Dowry Deaths,2013,776
Maharashtra,Dowry Deaths,2013,320
Manipur,Dowry Deaths,2013,0
Meghalaya,Dowry Deaths,2013,2
Mizoram,Dowry Deaths,2013,0
Nagaland,Dowry Deaths,2013,1
Odisha,Dowry Deaths,2013,395
Punjab,Dowry Deaths,2013,126
Rajasthan,Dowry Deaths,2013,453
Sikkim,Dowry Deaths,2013,0
