State,Year,Crime_Head,Count
ANDHRA PRADESH,2001,Rape,871
ARUNACHAL PRADESH,2001,Rape,33
ASSAM,2001,Rape,817
BIHAR,2001,Rape,888
CHHATTISGARH,2001,Rape,959
GOA,2001,Rape,12
GUJARAT,2001,Rape,286
HARYANA,2001,Rape,398
HIMACHAL PRADESH,2001,Rape,124
JAMMU & KASHMIR,2001,Rape,169
JHARKHAND,2001,Rape,567
KARNATAKA,2001,Rape,293
KERALA,2001,Rape,562
MADHYA PRADESH,2001,Rape,2851
MAHARASHTRA,2001,Rape,1302
MANIPUR,2001,Rape,20
MEGHALAYA,2001,Rape,26
MIZORAM,2001,Rape,52
NAGALAND,2001,Rape,17
ODISHA,2001,Rape,790
PUNJAB,2001,Rape,298
RAJASTHAN,2001,Rape,1049
SIKKIM,2001,Rape,8
TAMIL NADU,2001,Rape,423
TRIPURA,2001,Rape,102
UTTAR PRADESH,2001,Rape,1958
UTTARAKHAND,2001,Rape,74
WEST BENGAL,2001,Rape,709
A & N ISLANDS,2001,Rape,3
CHANDIGARH,2001,Rape,18
D & N HAVELI,2001,Rape,6
DAMAN & DIU,2001,Rape,0
LAKSHADWEEP,2001,Rape,0
PUDUCHERRY,2001,Rape,9
ANDHRA PRADESH,2002,Rape,1002
ARUNACHAL PRADESH,2002,Rape,38
ASSAM,2002,Rape,970
BIHAR,2002,Rape,1040
CHHATTISGARH,2002,Rape,992
GOA,2002,Rape,12
GUJARAT,2002,Rape,267
HARYANA,2002,Rape,361
HIMACHAL PRADESH,2002,Rape,137
JAMMU & KASHMIR,2002,Rape,192
JHARKHAND,2002,Rape,797
KARNATAKA,2002,Rape,292
KERALA,2002,Rape,499
MADHYA PRADESH,2002,Rape,2891
MAHARASHTRA,2002,Rape,1352
MANIPUR,2002,Rape,14
MEGHALAYA,2002,Rape,38
MIZORAM,2002,Rape,76
NAGALAND,2002,Rape,17
ODISHA,2002,Rape,691
PUNJAB,2002,Rape,299
RAJASTHAN,2002,Rape,1051
SIKKIM,2002,Rape,6
TAMIL NADU,2002,Rape,534
TRIPURA,2002,Rape,108
UTTAR PRADESH,2002,Rape,1415
UTTARAKHAND,2002,Rape,89
WEST BENGAL,2002,Rape,759
A & N ISLANDS,2002,Rape,2
CHANDIGARH,2002,Rape,18
D & N HAVELI,2002,Rape,4
DAMAN & DIU,2002,Rape,0
LAKSHADWEEP,2002,Rape,1
PUDUCHERRY,2002,Rape,6
ANDHRA PRADESH,2003,Rape,946
ARUNACHAL PRADESH,2003,Rape,31
ASSAM,2003,Rape,1095
BIHAR,2003,Rape,985
CHHATTISGARH,2003,Rape,898
GOA,2003,Rape,31
GUJARAT,2003,Rape,236
HARYANA,2003,Rape,353
HIMACHAL PRADESH,2003,Rape,126
JAMMU & KASHMIR,2003,Rape,211
JHARKHAND,2003,Rape,712
KARNATAKA,2003,Rape,321
KERALA,2003,Rape,394
MADHYA PRADESH,2003,Rape,2738
MAHARASHTRA,2003,Rape,1268
MANIPUR,2003,Rape,18
MEGHALAYA,2003,Rape,40
MIZORAM,2003,Rape,54
NAGALAND,2003,Rape,14
ODISHA,2003,Rape,725
PUNJAB,2003,Rape,380
RAJASTHAN,2003,Rape,1050
SIKKIM,2003,Rape,10
TAMIL NADU,2003,Rape,557
TRIPURA,2003,Rape,114
UTTAR PRADESH,2003,Rape,911
UTTARAKHAND,2003,Rape,107
WEST BENGAL,2003,Rape,1002
A & N ISLANDS,2003,Rape,2
CHANDIGARH,2003,Rape,18
D & N HAVELI,2003,Rape,1
DAMAN & DIU,2003,Rape,5
LAKSHADWEEP,2003,Rape,2
PUDUCHERRY,2003,Rape,2
ANDHRA PRADESH,2004,Rape,1016
ARUNACHAL PRADESH,2004,Rape,42
ASSAM,2004,Rape,1171
BIHAR,2004,Rape,1390
CHHATTISGARH,2004,Rape,969
GOA,2004,Rape,37
GUJARAT,2004,Rape,339
HARYANA,2004,Rape,386
HIMACHAL PRADESH,2004,Rape,153
JAMMU & KASHMIR,2004,Rape,218
JHARKHAND,2004,Rape,797
KARNATAKA,2004,Rape,291
KERALA,2004,Rape,480
MADHYA PRADESH,2004,Rape,2875
MAHARASHTRA,2004,Rape,1388
MANIPUR,2004,Rape,31
MEGHALAYA,2004,Rape,54
MIZORAM,2004,Rape,20
NAGALAND,2004,Rape,18
ODISHA,2004,Rape,770
PUNJAB,2004,Rape,390
RAJASTHAN,2004,Rape,1038
SIKKIM,2004,Rape,3
TAMIL NADU,2004,Rape,618
TRIPURA,2004,Rape,160
UTTAR PRADESH,2004,Rape,1397
UTTARAKHAND,2004,Rape,115
WEST BENGAL,2004,Rape,1475
A & N ISLANDS,2004,Rape,10
CHANDIGARH,2004,Rape,19
D & N HAVELI,2004,Rape,7
DAMAN & DIU,2004,Rape,1
LAKSHADWEEP,2004,Rape,0
PUDUCHERRY,2004,Rape,4
ANDHRA PRADESH,2005,Rape,935
ARUNACHAL PRADESH,2005,Rape,35
ASSAM,2005,Rape,1238
BIHAR,2005,Rape,1147
CHHATTISGARH,2005,Rape,990
GOA,2005,Rape,20
GUJARAT,2005,Rape,324
HARYANA,2005,Rape,461
HIMACHAL PRADESH,2005,Rape,141
JAMMU & KASHMIR,2005,Rape,201
JHARKHAND,2005,Rape,753
KARNATAKA,2005,Rape,343
KERALA,2005,Rape,478
MADHYA PRADESH,2005,Rape,2921
MAHARASHTRA,2005,Rape,1545
MANIPUR,2005,Rape,25
MEGHALAYA,2005,Rape,63
MIZORAM,2005,Rape,37
NAGALAND,2005,Rape,17
ODISHA,2005,Rape,799
PUNJAB,2005,Rape,398
RAJASTHAN,2005,Rape,993
SIKKIM,2005,Rape,18
TAMIL NADU,2005,Rape,571
TRIPURA,2005,Rape,162
UTTAR PRADESH,2005,Rape,1217
UTTARAKHAND,2005,Rape,133
WEST BENGAL,2005,Rape,1686
A & N ISLANDS,2005,Rape,4
CHANDIGARH,2005,Rape,33
D & N HAVELI,2005,Rape,5
DAMAN & DIU,2005,Rape,2
LAKSHADWEEP,2005,Rape,0
PUDUCHERRY,2005,Rape,6
ANDHRA PRADESH,2006,Rape,1049
ARUNACHAL PRADESH,2006,Rape,37
ASSAM,2006,Rape,1244
BIHAR,2006,Rape,1232
CHHATTISGARH,2006,Rape,995
GOA,2006,Rape,21
GUJARAT,2006,Rape,354
HARYANA,2006,Rape,608
HIMACHAL PRADESH,2006,Rape,113
JAMMU & KASHMIR,2006,Rape,250
JHARKHAND,2006,Rape,799
KARNATAKA,2006,Rape,400
KERALA,2006,Rape,601
MADHYA PRADESH,2006,Rape,2900
MAHARASHTRA,2006,Rape,1500
MANIPUR,2006,Rape,40
MEGHALAYA,2006,Rape,74
MIZORAM,2006,Rape,72
NAGALAND,2006,Rape,23
ODISHA,2006,Rape,985
PUNJAB,2006,Rape,442
RAJASTHAN,2006,Rape,1085
SIKKIM,2006,Rape,20
TAMIL NADU,2006,Rape,457
TRIPURA,2006,Rape,189
UTTAR PRADESH,2006,Rape,1314
UTTARAKHAND,2006,Rape,147
WEST BENGAL,2006,Rape,1731
A & N ISLANDS,2006,Rape,6
CHANDIGARH,2006,Rape,19
D & N HAVELI,2006,Rape,6
DAMAN & DIU,2006,Rape,3
LAKSHADWEEP,2006,Rape,0
PUDUCHERRY,2006,Rape,9
ANDHRA PRADESH,2007,Rape,1070
ARUNACHAL PRADESH,2007,Rape,48
ASSAM,2007,Rape,1437
BIHAR,2007,Rape,1555
CHHATTISGARH,2007,Rape,982
GOA,2007,Rape,20
GUJARAT,2007,Rape,316
HARYANA,2007,Rape,488
HIMACHAL PRADESH,2007,Rape,159
JAMMU & KASHMIR,2007,Rape,288
JHARKHAND,2007,Rape,855
KARNATAKA,2007,Rape,436
KERALA,2007,Rape,512
MADHYA PRADESH,2007,Rape,3010
MAHARASHTRA,2007,Rape,1451
MANIPUR,2007,Rape,20
MEGHALAYA,2007,Rape,82
MIZORAM,2007,Rape,83
NAGALAND,2007,Rape,13
ODISHA,2007,Rape,939
PUNJAB,2007,Rape,519
RAJASTHAN,2007,Rape,1238
SIKKIM,2007,Rape,24
TAMIL NADU,2007,Rape,523
TRIPURA,2007,Rape,157
UTTAR PRADESH,2007,Rape,1648
UTTARAKHAND,2007,Rape,117
WEST BENGAL,2007,Rape,2106
A & N ISLANDS,2007,Rape,3
CHANDIGARH,2007,Rape,22
D & N HAVELI,2007,Rape,7
DAMAN & DIU,2007,Rape,1
LAKSHADWEEP,2007,Rape,1
PUDUCHERRY,2007,Rape,9
ANDHRA PRADESH,2008,Rape,1257
ARUNACHAL PRADESH,2008,Rape,42
ASSAM,2008,Rape,1438
BIHAR,2008,Rape,1302
CHHATTISGARH,2008,Rape,978
GOA,2008,Rape,30
GUJARAT,2008,Rape,374
HARYANA,2008,Rape,631
HIMACHAL PRADESH,2008,Rape,157
JAMMU & KASHMIR,2008,Rape,219
JHARKHAND,2008,Rape,791
KARNATAKA,2008,Rape,446
KERALA,2008,Rape,568
MADHYA PRADESH,2008,Rape,2937
MAHARASHTRA,2008,Rape,1558
MANIPUR,2008,Rape,38
MEGHALAYA,2008,Rape,88
MIZORAM,2008,Rape,77
NAGALAND,2008,Rape,19
ODISHA,2008,Rape,1113
PUNJAB,2008,Rape,517
RAJASTHAN,2008,Rape,1355
SIKKIM,2008,Rape,20
TAMIL NADU,2008,Rape,573
TRIPURA,2008,Rape,204
UTTAR PRADESH,2008,Rape,1871
UTTARAKHAND,2008,Rape,87
WEST BENGAL,2008,Rape,2263
A & N ISLANDS,2008,Rape,12
CHANDIGARH,2008,Rape,20
D & N HAVELI,2008,Rape,6
DAMAN & DIU,2008,Rape,0
LAKSHADWEEP,2008,Rape,2
PUDUCHERRY,2008,Rape,8
ANDHRA PRADESH,2009,Rape,1188
ARUNACHAL PRADESH,2009,Rape,59
ASSAM,2009,Rape,1631
BIHAR,2009,Rape,929
CHHATTISGARH,2009,Rape,976
GOA,2009,Rape,47
GUJARAT,2009,Rape,433
HARYANA,2009,Rape,603
HIMACHAL PRADESH,2009,Rape,183
JAMMU & KASHMIR,2009,Rape,237
JHARKHAND,2009,Rape,719
KARNATAKA,2009,Rape,509
KERALA,2009,Rape,568
MADHYA PRADESH,2009,Rape,2998
MAHARASHTRA,2009,Rape,1483
MANIPUR,2009,Rape,31
MEGHALAYA,2009,Rape,112
MIZORAM,2009,Rape,83
NAGALAND,2009,Rape,22
ODISHA,2009,Rape,1023
PUNJAB,2009,Rape,511
RAJASTHAN,2009,Rape,1519
SIKKIM,2009,Rape,18
TAMIL NADU,2009,Rape,596
TRIPURA,2009,Rape,190
UTTAR PRADESH,2009,Rape,1759
UTTARAKHAND,2009,Rape,111
WEST BENGAL,2009,Rape,2336
A & N ISLANDS,2009,Rape,18
CHANDIGARH,2009,Rape,29
D & N HAVELI,2009,Rape,4
DAMAN & DIU,2009,Rape,1
LAKSHADWEEP,2009,Rape,1
PUDUCHERRY,2009,Rape,1
ANDHRA PRADESH,2010,Rape,1362
ARUNACHAL PRADESH,2010,Rape,47
ASSAM,2010,Rape,1721
BIHAR,2010,Rape,795
CHHATTISGARH,2010,Rape,1012
GOA,2010,Rape,36
GUJARAT,2010,Rape,408
HARYANA,2010,Rape,720
HIMACHAL PRADESH,2010,Rape,160
JAMMU & KASHMIR,2010,Rape,245
JHARKHAND,2010,Rape,773
KARNATAKA,2010,Rape,586
KERALA,2010,Rape,634
MADHYA PRADESH,2010,Rape,3135
MAHARASHTRA,2010,Rape,1599
MANIPUR,2010,Rape,34
MEGHALAYA,2010,Rape,149
MIZORAM,2010,Rape,92
NAGALAND,2010,Rape,16
ODISHA,2010,Rape,1025
PUNJAB,2010,Rape,546
RAJASTHAN,2010,Rape,1571
SIKKIM,2010,Rape,18
TAMIL NADU,2010,Rape,686
TRIPURA,2010,Rape,238
UTTAR PRADESH,2010,Rape,1563
UTTARAKHAND,2010,Rape,121
WEST BENGAL,2010,Rape,2311
A & N ISLANDS,2010,Rape,24
CHANDIGARH,2010,Rape,31
D & N HAVELI,2010,Rape,3
DAMAN & DIU,2010,Rape,1
LAKSHADWEEP,2010,Rape,0
PUDUCHERRY,2010,Rape,3
Andhra Pradesh,2011,Rape,1442
Arunachal Pradesh,2011,Rape,42
Assam,2011,Rape,1700
Bihar,2011,Rape,934
Chhattisgarh,2011,Rape,1053
Goa,2011,Rape,29
Gujarat,2011,Rape,439
Haryana,2011,Rape,733
Himachal Pradesh,2011,Rape,168
Jammu & Kashmir,2011,Rape,277
Jharkhand,2011,Rape,784
Karnataka,2011,Rape,636
Kerala,2011,Rape,1132
Madhya Pradesh,2011,Rape,3406
Maharashtra,2011,Rape,1701
Manipur,2011,Rape,53
Meghalaya,2011,Rape,130
Mizoram,2011,Rape,77
Nagaland,2011,Rape,23
Odisha,2011,Rape,1112
Punjab,2011,Rape,479
Rajasthan,2011,Rape,1800
Sikkim,2011,Rape,16
Tamil Nadu,2011,Rape,677
Telangana,2011,Rape,0
Tripura,2011,Rape,205
Uttar Pradesh,2011,Rape,2042
Uttarakhand,2011,Rape,129
West Bengal,2011,Rape,2363
A & N Islands,2011,Rape,13
Chandigarh,2011,Rape,27
D&N Haveli,2011,Rape,4
Daman & Diu,2011,Rape,1
Delhi UT,2011,Rape,572
Lakshadweep,2011,Rape,0
Puducherry,2011,Rape,7
Andhra Pradesh,2012,Rape,1341
Arunachal Pradesh,2012,Rape,46
Assam,2012,Rape,1716
Bihar,2012,Rape,927
Chhattisgarh,2012,Rape,1034
Goa,2012,Rape,55
Gujarat,2012,Rape,473
Haryana,2012,Rape,668
Himachal Pradesh,2012,Rape,183
Jammu & Kashmir,2012,Rape,303
Jharkhand,2012,Rape,812
Karnataka,2012,Rape,621
Kerala,2012,Rape,1019
Madhya Pradesh,2012,Rape,3425
Maharashtra,2012,Rape,1839
Manipur,2012,Rape,63
Meghalaya,2012,Rape,164
Mizoram,2012,Rape,103
Nagaland,2012,Rape,21
Odisha,2012,Rape,1458
Punjab,2012,Rape,680
Rajasthan,2012,Rape,2049
Sikkim,2012,Rape,34
Tamil Nadu,2012,Rape,737
Telangana,2012,Rape,0
Tripura,2012,Rape,229
Uttar Pradesh,2012,Rape,1963
Uttarakhand,2012,Rape,148
West Bengal,2012,Rape,2046
A & N Islands,2012,Rape,12
Chandigarh,2012,Rape,27
D&N Haveli,2012,Rape,3
Daman & Diu,2012,Rape,5
Delhi UT,2012,Rape,706
Lakshadweep,2012,Rape,0
Puducherry,2012,Rape,13
Andhra Pradesh,2013,Rape,1635
Arunachal Pradesh,2013,Rape,75
Assam,2013,Rape,1937
Bihar,2013,Rape,1128
Chhattisgarh,2013,Rape,1380
Goa,2013,Rape,86
Gujarat,2013,Rape,732
Haryana,2013,Rape,971
Himachal Pradesh,2013,Rape,250
Jammu & Kashmir,2013,Rape,378
Jharkhand,2013,Rape,1204
Karnataka,2013,Rape,1030
Kerala,2013,Rape,1221
Madhya Pradesh,2013,Rape,4335
Maharashtra,2013,Rape,3063
Manipur,2013,Rape,72
Meghalaya,2013,Rape,183
Mizoram,2013,Rape,89
Nagaland,2013,Rape,31
Odisha,2013,Rape,1832
Punjab,2013,Rape,888
Rajasthan,2013,Rape,3285
Sikkim,2013,Rape,43
Tamil Nadu,2013,Rape,923
Telangana,2013,Rape,0
Tripura,2013,Rape,233
Uttar Pradesh,2013,Rape,3050
Uttarakhand,2013,Rape,228
West Bengal,2013,Rape,1685
A & N Islands,2013,Rape,27
Chandigarh,2013,Rape,45
D&N Haveli,2013,Rape,5
Daman & Diu,2013,Rape,8
Delhi UT,2013,Rape,1636
Lakshadweep,2013,Rape,2
Puducherry,2013,Rape,17
Andhra Pradesh,2014,Rape,961
Arunachal Pradesh,2014,Rape,83
Assam,2014,Rape,1980
Bihar,2014,Rape,1127
Chhattisgarh,2014,Rape,1436
Goa,2014,Rape,95
Gujarat,2014,Rape,841
Haryana,2014,Rape,1174
Himachal Pradesh,2014,Rape,283
Jammu & Kashmir,2014,Rape,331
Jharkhand,2014,Rape,1050
Karnataka,2014,Rape,1324
Kerala,2014,Rape,1347
Madhya Pradesh,2014,Rape,5076
Maharashtra,2014,Rape,3438
Manipur,2014,Rape,75
Meghalaya,2014,Rape,118
Mizoram,2014,Rape,120
Nagaland,2014,Rape,30
Odisha,2014,Rape,1978
Punjab,2014,Rape,981
Rajasthan,2014,Rape,3759
Sikkim,2014,Rape,47
Tamil Nadu,2014,Rape,455
Telangana,2014,Rape,979
Tripura,2014,Rape,239
Uttar Pradesh,2014,Rape,3467
Uttarakhand,2014,Rape,270
West Bengal,2014,Rape,1466
A & N Islands,2014,Rape,32
Chandigarh,2014,Rape,59
D&N Haveli,2014,Rape,5
Daman & Diu,2014,Rape,2
Delhi UT,2014,Rape,2096
Lakshadweep,2014,Rape,1
Puducherry,2014,Rape,10
Andhra Pradesh,2015,Rape,1027
Arunachal Pradesh,2015,Rape,71
Assam,2015,Rape,1733
Bihar,2015,Rape,1041
Chhattisgarh,2015,Rape,1560
Goa,2015,Rape,86
Gujarat,2015,Rape,503
Haryana,2015,Rape,1070
Himachal Pradesh,2015,Rape,244
Jammu & Kashmir,2015,Rape,296
Jharkhand,2015,Rape,1053
Karnataka,2015,Rape,589
Kerala,2015,Rape,1256
Madhya Pradesh,2015,Rape,4391
Maharashtra,2015,Rape,4144
Manipur,2015,Rape,46
Meghalaya,2015,Rape,93
Mizoram,2015,Rape,58
Nagaland,2015,Rape,35
Odisha,2015,Rape,2251
Punjab,2015,Rape,886
Rajasthan,2015,Rape,3644
Sikkim,2015,Rape,5
Tamil Nadu,2015,Rape,421
Telangana,2015,Rape,1105
Tripura,2015,Rape,213
Uttar Pradesh,2015,Rape,3025
Uttarakhand,2015,Rape,283
West Bengal,2015,Rape,1199
A & N Islands,2015,Rape,36
Chandigarh,2015,Rape,72
D&N Haveli,2015,Rape,8
Daman & Diu,2015,Rape,5
Delhi UT,2015,Rape,2199
Lakshadweep,2015,Rape,0
Puducherry,2015,Rape,3
Andhra Pradesh,2016,Rape,994
Arunachal Pradesh,2016,Rape,92
Assam,2016,Rape,1779
Bihar,2016,Rape,1008
Chhattisgarh,2016,Rape,1626
Goa,2016,Rape,61
Gujarat,2016,Rape,982
Haryana,2016,Rape,1187
Himachal Pradesh,2016,Rape,252
Jammu & Kashmir,2016,Rape,256
Jharkhand,2016,Rape,1109
Karnataka,2016,Rape,1655
Kerala,2016,Rape,1656
Madhya Pradesh,2016,Rape,4882
Maharashtra,2016,Rape,4189
Manipur,2016,Rape,55
Meghalaya,2016,Rape,190
Mizoram,2016,Rape,23
Nagaland,2016,Rape,26
Odisha,2016,Rape,1983
Punjab,2016,Rape,838
Rajasthan,2016,Rape,3656
Sikkim,2016,Rape,92
Tamil Nadu,2016,Rape,319
Telangana,2016,Rape,1278
Tripura,2016,Rape,207
Uttar Pradesh,2016,Rape,4816
Uttarakhand,2016,Rape,336
West Bengal,2016,Rape,1110
A & N Islands,2016,Rape,30
Chandigarh,2016,Rape,68
D&N Haveli,2016,Rape,14
Daman & Diu,2016,Rape,12
Delhi UT,2016,Rape,2155
Lakshadweep,2016,Rape,5
Puducherry,2016,Rape,6
Andhra Pradesh,2017,Rape,988
Arunachal Pradesh,2017,Rape,59
Assam,2017,Rape,1772
Bihar,2017,Rape,605
Chhattisgarh,2017,Rape,1908
Goa,2017,Rape,76
Gujarat,2017,Rape,477
Haryana,2017,Rape,1099
Himachal Pradesh,2017,Rape,249
Jammu & Kashmir,2017,Rape,296
Jharkhand,2017,Rape,914
Karnataka,2017,Rape,546
Kerala,2017,Rape,2003
Madhya Pradesh,2017,Rape,5562
Maharashtra,2017,Rape,1933
Manipur,2017,Rape,40
Meghalaya,2017,Rape,119
Mizoram,2017,Rape,25
