STATE/UT,CRIME HEAD,year,State/UTs,Crime Head,States/UTs
Andhra Pradesh,RAPE,2001,,,
Arunachal Pradesh,RAPE,2001,,,
Assam,RAPE,2001,,,
Bihar,RAPE,2001,,,
Chhattisgarh,RAPE,2001,,,
Goa,RAPE,2001,,,
Gujarat,RAPE,2001,,,
Haryana,RAPE,2001,,,
Himachal Pradesh,RAPE,2001,,,
Jammu & Kashmir,RAPE,2001,,,
Jharkhand,RAPE,2001,,,
Karnataka,RAPE,2001,,,
Kerala,RAPE,2001,,,
Madhya Pradesh,RAPE,2001,,,
Maharashtra,RAPE,2001,,,
Manipur,RAPE,2001,,,
Meghalaya,RAPE,2001,,,
Mizoram,RAPE,2001,,,
Nagaland,RAPE,2001,,,
Odisha,RAPE,2001,,,
Punjab,RAPE,2001,,,
Rajasthan,RAPE,2001,,,
Sikkim,RAPE,2001,,,
Tamil Nadu,RAPE,2001,,,
Tripura,RAPE,2001,,,
Uttar Pradesh,RAPE,2001,,,
Uttarakhand,RAPE,2001,,,
West Bengal,RAPE,2001,,,
A&N Islands,RAPE,2001,,,
Chandigarh,RAPE,2001,,,
D&N Haveli,RAPE,2001,,,
Daman & Diu,RAPE,2001,,,
Delhi UT,RAPE,2001,,,
Lakshadweep,RAPE,2001,,,
Puducherry,RAPE,2001,,,
All India,RAPE,2001,,,
Andhra Pradesh,KIDNAPPING & ABDUCTION,2001,,,
Arunachal Pradesh,KIDNAPPING & ABDUCTION,2001,,,
Assam,KIDNAPPING & ABDUCTION,2001,,,
Bihar,KIDNAPPING & ABDUCTION,2001,,,
Chhattisgarh,KIDNAPPING & ABDUCTION,2001,,,
Goa,KIDNAPPING & ABDUCTION,2001,,,
Gujarat,KIDNAPPING & ABDUCTION,2001,,,
Haryana,KIDNAPPING & ABDUCTION,2001,,,
Himachal Pradesh,KIDNAPPING & ABDUCTION,2001,,,
Jammu & Kashmir,KIDNAPPING & ABDUCTION,2001,,,
Jharkhand,KIDNAPPING & ABDUCTION,2001,,,
Karnataka,KIDNAPPING & ABDUCTION,2001,,,
Kerala,KIDNAPPING & ABDUCTION,2001,,,
Madhya Pradesh,KIDNAPPING & ABDUCTION,2001,,,
Maharashtra,KIDNAPPING & ABDUCTION,2001,,,
Manipur,KIDNAPPING & ABDUCTION,2001,,,
Meghalaya,KIDNAPPING & ABDUCTION,2001,,,
Mizoram,KIDNAPPING & ABDUCTION,2001,,,
Nagaland,KIDNAPPING & ABDUCTION,2001,,,
Odisha,KIDNAPPING & ABDUCTION,2001,,,
Punjab,KIDNAPPING & ABDUCTION,2001,,,
Rajasthan,KIDNAPPING & ABDUCTION,2001,,,
Sikkim,KIDNAPPING & ABDUCTION,2001,,,
Tamil Nadu,KIDNAPPING & ABDUCTION,2001,,,
Tripura,KIDNAPPING & ABDUCTION,2001,,,
Uttar Pradesh,KIDNAPPING & ABDUCTION,2001,,,
Uttarakhand,KIDNAPPING & ABDUCTION,2001,,,
West Bengal,KIDNAPPING & ABDUCTION,2001,,,
A&N Islands,KIDNAPPING & ABDUCTION,2001,,,
Chandigarh,KIDNAPPING & ABDUCTION,2001,,,
D&N Haveli,KIDNAPPING & ABDUCTION,2001,,,
Daman & Diu,KIDNAPPING & ABDUCTION,2001,,,
Delhi UT,KIDNAPPING & ABDUCTION,2001,,,
Lakshadweep,KIDNAPPING & ABDUCTION,2001,,,
Puducherry,KIDNAPPING & ABDUCTION,2001,,,
ALL INDIA K&A,KIDNAPPING & ABDUCTION,2001,,,
Andhra Pradesh,DOWRY DEATH,2001,,,
Arunachal Pradesh,DOWRY DEATH,2001,,,
