States/UTs,Crime Head,2004
Andhra Pradesh,RAPE,1016
Arunachal Pradesh,RAPE,42
Assam,RAPE,1171
Bihar,RAPE,1390
Chhattisgarh,RAPE,969
Goa,RAPE,37
Gujarat,RAPE,339
Haryana,RAPE,386
Himachal Pradesh,RAPE,153
Jammu & Kashmir,RAPE,218
Jharkhand,RAPE,797
Karnataka,RAPE,291
Kerala,RAPE,480
Madhya Pradesh,RAPE,2875
Maharashtra,RAPE,1388
Manipur,RAPE,31
Meghalaya,RAPE,54
Mizoram,RAPE,20
Nagaland,RAPE,18
Odisha,RAPE,770
Punjab,RAPE,390
Rajasthan,RAPE,1038
Sikkim,RAPE,3
Tamil Nadu,RAPE,618
Tripura,RAPE,160
Uttar Pradesh,RAPE,1397
Uttarakhand,RAPE,115
West Bengal,RAPE,1475
A&N Islands,RAPE,10
Chandigarh,RAPE,19
D&N Haveli,RAPE,7
Daman & Diu,RAPE,1
Delhi UT,RAPE,551
Lakshadweep,RAPE,0
Puducherry,RAPE,4
All India,RAPE,18233
Andhra Pradesh,KIDNAPPING & ABDUCTION,1030
Arunachal Pradesh,KIDNAPPING & ABDUCTION,41
Assam,KIDNAPPING & ABDUCTION,1552
Bihar,KIDNAPPING & ABDUCTION,997
Chhattisgarh,KIDNAPPING & ABDUCTION,174
Goa,KIDNAPPING & ABDUCTION,10
Gujarat,KIDNAPPING & ABDUCTION,905
Haryana,KIDNAPPING & ABDUCTION,292
Himachal Pradesh,KIDNAPPING & ABDUCTION,99
Jammu & Kashmir,KIDNAPPING & ABDUCTION,632
Jharkhand,KIDNAPPING & ABDUCTION,178
Karnataka,KIDNAPPING & ABDUCTION,286
Kerala,KIDNAPPING & ABDUCTION,142
Madhya Pradesh,KIDNAPPING & ABDUCTION,584
Maharashtra,KIDNAPPING & ABDUCTION,787
Manipur,KIDNAPPING & ABDUCTION,71
Meghalaya,KIDNAPPING & ABDUCTION,18
Mizoram,KIDNAPPING & ABDUCTION,0
