States/UTs,Crime Head,2001
Andhra Pradesh,RAPE,871
Arunachal Pradesh,RAPE,33
Assam,RAPE,817
Bihar,RAPE,888
Chhattisgarh,RAPE,959
Goa,RAPE,12
Gujarat,RAPE,286
Haryana,RAPE,398
Himachal Pradesh,RAPE,124
Jammu & Kashmir,RAPE,169
Jharkhand,RAPE,567
Karnataka,RAPE,293
Kerala,RAPE,562
Madhya Pradesh,RAPE,2851
Maharashtra,RAPE,1302
Manipur,RAPE,20
Meghalaya,RAPE,26
Mizoram,RAPE,52
Nagaland,RAPE,17
Odisha,RAPE,790
Punjab,RAPE,298
Rajasthan,RAPE,1049
Sikkim,RAPE,8
Tamil Nadu,RAPE,423
Tripura,RAPE,102
Uttar Pradesh,RAPE,1958
Uttarakhand,RAPE,74
West Bengal,RAPE,709
A&N Islands,RAPE,3
Chandigarh,RAPE,18
D&N Haveli,RAPE,6
Daman & Diu,RAPE,0
Delhi UT,RAPE,381
Lakshadweep,RAPE,0
Puducherry,RAPE,9
All India,RAPE,16075
Andhra Pradesh,KIDNAPPING & ABDUCTION,765
Arunachal Pradesh,KIDNAPPING & ABDUCTION,55
Assam,KIDNAPPING & ABDUCTION,1070
Bihar,KIDNAPPING & ABDUCTION,518
Chhattisgarh,KIDNAPPING & ABDUCTION,171
Goa,KIDNAPPING & ABDUCTION,6
Gujarat,KIDNAPPING & ABDUCTION,857
Haryana,KIDNAPPING & ABDUCTION,297
Himachal Pradesh,KIDNAPPING & ABDUCTION,105
Jammu & Kashmir,KIDNAPPING & ABDUCTION,504
Jharkhand,KIDNAPPING & ABDUCTION,279
Karnataka,KIDNAPPING & ABDUCTION,271
Kerala,KIDNAPPING & ABDUCTION,97
Madhya Pradesh,KIDNAPPING & ABDUCTION,668
Maharashtra,KIDNAPPING & ABDUCTION,611
Manipur,KIDNAPPING & ABDUCTION,62
Meghalaya,KIDNAPPING & ABDUCTION,11
Mizoram,KIDNAPPING & ABDUCTION,1
Nagaland,KIDNAPPING & ABDUCTION,6
Odisha,KIDNAPPING & ABDUCTION,434
Punjab,KIDNAPPING & ABDUCTION,324
Rajasthan,KIDNAPPING & ABDUCTION,2165
