States/UTs,Crime_Head,Count,Year,Main_Category,Month,Time_of_Day,District,Latitude,Longitude,Victim_Age,Victim_Age_Group,Victim_Caste_Category,Marital_Status,Perpetrator_Relationship,Victim_Occupation,Victim_Education_Level
Andhra Pradesh,RAPE,871,2001,Rape-related,November,Morning,Siliguri,12.23614302,70.33642654,20,18-30,Unknown,Married,Husband,Student,Unknown
Arunachal Pradesh,RAPE,33,2001,Rape-related,February,Evening,Indore,35.76382068,89.34312416,22,18-30,Unknown,Married,Husband,Working Professional,Primary
Assam,RAPE,817,2001,Rape-related,January,Night,Nagpur,28.16887958,81.27345048,22,18-30,SC,Married,Husband,Student,Secondary
Bihar,RAPE,888,2001,Rape-related,December,Afternoon,Thiruvananthapuram,26.72769036,86.02458957,20,18-30,OBC,Unmarried,Husband,Student,Secondary
Chhattisgarh,RAPE,959,2001,Rape-related,May,Night,Kalaburagi,19.12010279,91.23203468,33,31-50,ST,Married,Husband,Working Professional,Postgraduate
Goa,RAPE,12,2001,Rape-related,April,Evening,Madurai,11.98893611,91.12451333,62,51+,SC,Widowed,Relative,Housewife,Primary
Gujarat,RAPE,286,2001,Rape-related,April,Evening,Ludhiana,34.75714766,87.00357871,32,31-50,OBC,Married,Acquaintance,Housewife,Primary
Haryana,RAPE,398,2001,Rape-related,March,Night,Raipur,25.11736798,81.76052551,20,18-30,General,Married,Acquaintance,Student,Primary
Himachal Pradesh,RAPE,124,2001,Rape-related,December,Night,Vijayawada,27.37115931,95.32163087,43,31-50,SC,Widowed,Acquaintance,Working Professional,Secondary
Jammu & Kashmir,RAPE,169,2001,Rape-related,February,Morning,Nagpur,16.43058011,93.70502713,20,18-30,OBC,Widowed,Acquaintance,Student,Secondary
Jharkhand,RAPE,567,2001,Rape-related,November,Afternoon,Thiruvananthapuram,11.47534172,69.89061955,56,51+,OBC,Widowed,Husband,Working Professional,Unknown
Karnataka,RAPE,293,2001,Rape-related,December,Night,Cuttack,15.64579817,90.26842654,20,18-30,OBC,Married,Unknown,Student,Postgraduate
Kerala,RAPE,562,2001,Rape-related,September,Afternoon,Amritsar,12.11409522,92.97876556,20,18-30,General,Married,Relative,Student,Primary
Madhya Pradesh,RAPE,2851,2001,Rape-related,February,Afternoon,Mysuru,34.63122332,88.19227773,63,51+,OBC,Widowed,Stranger,Housewife,Secondary
Maharashtra,RAPE,1302,2001,Rape-related,October,Morning,Patna,32.60668777,79.99506949,18,18-30,SC,Unmarried,Stranger,Housewife,Primary
Manipur,RAPE,20,2001,Rape-related,July,Evening,Howrah,14.30886811,73.41224788,56,51+,SC,Widowed,Relative,Labourer,Secondary
Meghalaya,RAPE,26,2001,Rape-related,January,Afternoon,Nagpur,29.12613843,80.17122609,20,18-30,General,Married,Acquaintance,Student,Secondary
Mizoram,RAPE,52,2001,Rape-related,January,Afternoon,Howrah,13.92994464,74.63150809,35,31-50,OBC,Married,Husband,Housewife,Secondary
Nagaland,RAPE,17,2001,Rape-related,February,Afternoon,Agra,25.20635167,77.87477937,45,31-50,SC,Married,Neighbor,Unemployed,Secondary
Odisha,RAPE,790,2001,Rape-related,April,Afternoon,Shimla,32.34207409,84.14583309,44,31-50,OBC,Married,Husband,Working Professional,Secondary
Punjab,RAPE,298,2001,Rape-related,April,Evening,Bhubaneswar,20.40032986,83.97900639,20,18-30,OBC,Unmarried,Stranger,Student,Primary
Rajasthan,RAPE,1049,2001,Rape-related,September,Morning,Shimla,15.54854289,89.55906834,15,<18,SC,Unmarried,Husband,Student,Primary
Sikkim,RAPE,8,2001,Rape-related,October,Afternoon,Patna,14.22586406,88.55994091,36,31-50,SC,Married,Husband,Housewife,Unknown
Tamil Nadu,RAPE,423,2001,Rape-related,January,Night,Indore,18.39323677,86.51661444,20,18-30,General,Married,Husband,Student,Secondary
Tripura,RAPE,102,2001,Rape-related,September,Evening,Patna,33.25962554,91.15753419,31,31-50,SC,Married,Neighbor,Working Professional,Secondary
Uttar Pradesh,RAPE,1958,2001,Rape-related,April,Morning,Bengaluru,23.05901735,70.20434937,62,51+,OBC,Widowed,Relative,Unemployed,Primary
Uttarakhand,RAPE,74,2001,Rape-related,December,Night,Mumbai,31.53234893,78.78476911,20,18-30,SC,Widowed,Husband,Student,Graduate
West Bengal,RAPE,709,2001,Rape-related,November,Night,Warangal,15.05821346,89.88161449,20,18-30,OBC,Married,Acquaintance,Student,Graduate
A&N Islands,RAPE,3,2001,Rape-related,December,Night,Jalandhar,35.69604107,80.94338065,40,31-50,SC,Divorced,Stranger,Housewife,Primary
Chandigarh,RAPE,18,2001,Rape-related,September,Afternoon,Mumbai,13.148731,80.07726195,22,18-30,ST,Unmarried,Husband,Housewife,Primary
D&N Haveli,RAPE,6,2001,Rape-related,July,Afternoon,Mysuru,36.72346283,84.38758444,26,18-30,ST,Married,Stranger,Unknown,Illiterate
Daman & Diu,RAPE,0,2001,Rape-related,April,Night,Amritsar,12.2023396,95.36446063,57,51+,General,Widowed,Acquaintance,Unknown,Primary
Delhi UT,RAPE,381,2001,Rape-related,August,Morning,Ranchi,22.37012471,82.41104991,62,51+,SC,Widowed,Relative,Housewife,Postgraduate
Lakshadweep,RAPE,0,2001,Rape-related,October,Afternoon,Warangal,32.23462831,81.01076122,46,31-50,OBC,Married,Relative,Housewife,Unknown
Puducherry,RAPE,9,2001,Rape-related,May,Morning,Patna,16.23609681,88.98837659,38,31-50,OBC,Divorced,Unknown,Unemployed,Secondary
All India,RAPE,16075,2001,Rape-related,January,Afternoon,Pune,29.1260802,85.54325709,57,51+,OBC,Married,Husband,Working Professional,Secondary
Andhra Pradesh,KIDNAPPING & ABDUCTION,765,2001,Kidnapping & Abduction,March,Afternoon,Ludhiana,12.61397221,72.82292466,20,18-30,Unknown,Widowed,Relative,Student,Secondary
Arunachal Pradesh,KIDNAPPING & ABDUCTION,55,2001,Kidnapping & Abduction,December,Afternoon,Raipur,16.40970863,93.32900808,31,31-50,General,Married,Relative,Working Professional,Graduate
Assam,KIDNAPPING & ABDUCTION,1070,2001,Kidnapping & Abduction,July,Morning,Patna,18.10870412,79.54388195,20,18-30,Unknown,Widowed,Stranger,Student,Graduate
Bihar,KIDNAPPING & ABDUCTION,518,2001,Kidnapping & Abduction,June,Afternoon,Udaipur,8.694941783,79.48594975,20,18-30,SC,Married,Husband,Student,Graduate
Chhattisgarh,KIDNAPPING & ABDUCTION,171,2001,Kidnapping & Abduction,May,Morning,Bhubaneswar,24.52660647,70.62979099,28,18-30,SC,Married,Relative,Working Professional,Primary
Goa,KIDNAPPING & ABDUCTION,6,2001,Kidnapping & Abduction,March,Afternoon,Nashik,16.73164781,90.02587837,20,18-30,OBC,Married,Relative,Student,Graduate
Gujarat,KIDNAPPING & ABDUCTION,857,2001,Kidnapping & Abduction,April,Evening,Dehradun,13.72888323,69.32949065,52,51+,OBC,Married,Relative,Housewife,Primary
