States/UTs,Crime_Head,Count,Year,Main_Category,Month,Time_of_Day,District,Latitude,Longitude,Victim_Age,Victim_Age_Group,Victim_Caste_Category,Marital_Status,Perpetrator_Relationship,Victim_Occupation,Victim_Education_Level
4,57,-0.10169634807325595,-1.7940030993258906,5,9,2,34,-1.2394907609595,-1.4503266742602716,20,18-30,Unknown,1,Husband,2,5
5,57,-0.1646373884494468,-1.7940030993258906,5,3,1,15,1.5719136640774078,0.8055484204732661,22,18-30,Unknown,1,Husband,5,3
6,57,-0.10575221463687684,-1.7940030993258906,5,4,3,27,0.6643676102339157,-0.1522284769811985,22,18-30,SC,1,Husband,2,4
7,57,-0.10041950119211603,-1.7940030993258906,5,2,0,35,0.49215487385696366,0.41167676100543005,20,18-30,OBC,2,Husband,2,4
9,57,-0.09508678774735523,-1.7940030993258906,5,8,3,19,-0.41690235088205363,1.0297402439789092,33,31-50,ST,1,Husband,5,2
13,57,-0.16621466989085493,-1.7940030993258906,5,0,1,24,-1.2690303785417014,1.0169787037857356,62,51+,SC,3,Relative,0,3
14,57,-0.14563490251248226,-1.7940030993258906,5,0,1,23,1.4516227869287082,0.5278714447476863,32,31-50,OBC,1,Acquaintance,0,3
15,57,-0.13722273482497227,-1.7940030993258906,5,7,3,31,0.29973182512721647,-0.09441830651332159,20,18-30,General,1,Acquaintance,2,3
16,57,-0.15780250220334494,-1.7940030993258906,5,2,3,37,0.5690452274033939,1.5151279939702824,43,31-50,SC,3,Acquaintance,5,4
17,57,-0.15442261340032754,-1.7940030993258906,5,3,2,27,-0.7382828149065307,1.3232558345857055,20,18-30,OBC,3,Acquaintance,2,4
18,57,-0.12452937465364022,-1.7940030993258906,5,9,0,35,-1.3304015670451457,-1.5032388058628126,56,51+,OBC,3,Husband,5,5
19,57,-0.1451091420320129,-1.7940030993258906,5,2,3,9,-0.8320591514701731,0.915371106974218,20,18-30,OBC,1,Unknown,2,2
20,57,-0.12490491785397549,-1.7940030993258906,5,11,0,2,-1.2540746790981516,1.2370569892744026,20,18-30,General,1,Relative,2,3
